,ID,Name,LongName,Parent,Component,Path,Line,Column,EndLine,EndColumn,CD,CLOC,DLOC,LLOC,LOC,McCC,NII,NL,NLE,NOI,NOS,NUMPAR,TCD,TCLOC,TLLOC,TLOC,TNOS,WarningBlocker,WarningCritical,WarningInfo,WarningMajor,WarningMinor,Anti Pattern,Complexity Metric Rules,Coupling Metric Rules,Documentation Metric Rules,Size Metric Rules,HCPL,HDIF,HEFF,HNDB,HPL,HPV,HTRP,HVOL
0,L160,__init__,counter.Counter.__init__~Fn,L158,L103,/content/Python/1 File handle/File handle text/counter.py,10,5,16,20,0,1,0,5,7,1,0,0,0,1,4,2,0,1,5,7,4,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
1,L165,count,counter.Counter.count~Fn,L158,L103,/content/Python/1 File handle/File handle text/counter.py,18,5,26,51,0,0,0,7,9,4,0,0,0,0,6,1,0,0,7,9,6,0,0,0,0,0,0,0,0,0,0,4.754887502163469,0.6666666666666666,8.0,0.004,6,4,0.4444444444444444,12.0
2,L168,get_total_lower,counter.Counter.get_total_lower~Fn,L158,L103,/content/Python/1 File handle/File handle text/counter.py,28,5,29,31,0,0,0,2,2,1,0,0,0,0,1,1,0,0,2,2,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
3,L170,get_total_upper,counter.Counter.get_total_upper~Fn,L158,L103,/content/Python/1 File handle/File handle text/counter.py,31,5,32,31,0,0,0,2,2,1,0,0,0,0,1,1,0,0,2,2,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
4,L172,get_total,counter.Counter.get_total~Fn,L158,L103,/content/Python/1 File handle/File handle text/counter.py,34,5,35,50,0,0,0,2,2,1,0,0,0,0,1,1,0,0,2,2,1,0,0,0,0,0,0,0,0,0,0,2.0,0.5,2.3774437510817346,0.0015849625007211,3,3,0.1320802083934297,4.754887502163469
5,L298,__init__,Add_two_Linked_List.Node.__init__~Fn,L296,L103,/content/Python/Add_two_Linked_List.py,2,5,4,24,0,0,0,3,3,1,0,0,0,0,2,2,0,0,3,3,2,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
6,L305,__init__,Add_two_Linked_List.LinkedList.__init__~Fn,L303,L103,/content/Python/Add_two_Linked_List.py,8,5,9,24,0,0,0,2,2,1,0,0,0,0,1,1,0,0,2,2,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
7,L309,insert_at_beginning,Add_two_Linked_List.LinkedList.insert_at_beginning~Fn,L303,L103,/content/Python/Add_two_Linked_List.py,11,5,17,28,0,0,0,7,7,2,0,0,0,0,6,2,0,0,7,7,6,0,0,0,0,0,0,0,0,0,0,2.0,0.5,2.3774437510817346,0.0015849625007211,3,3,0.1320802083934297,4.754887502163469
8,L312,add_two_no,Add_two_Linked_List.LinkedList.add_two_no~Fn,L303,L103,/content/Python/Add_two_Linked_List.py,19,5,40,35,0,0,0,22,22,11,0,0,0,0,20,3,0,0,22,22,20,0,0,1,0,0,1,1,0,0,0,72.10571633583419,8.615384615384615,1589.3431659039452,0.0614924439189026,42,21,88.29684255021918,184.47733175670797
9,L316,__str__,Add_two_Linked_List.LinkedList.__str__~Fn,L303,L103,/content/Python/Add_two_Linked_List.py,42,5,47,21,0,0,0,6,6,2,0,0,0,0,5,1,0,0,6,6,5,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
